Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN,final_tt_data_forecast,final_tt_data
17-Nov-20,2020-11-17,Confirmed,38548,17,1395,36,242,513,136,1721,3,0,6396,154,1125,2450,584,572,261,1336,5792,70,0,922,2732,159,85,48,163,644,72,515,2194,27,1652,952,77,1420,429,3654,0,,38548
18-Nov-20,2020-11-18,Confirmed,45366,19,1236,41,169,734,145,2048,8,0,7486,162,1281,2562,661,574,251,1791,6419,60,0,1209,5011,110,76,37,178,868,56,798,2178,29,1714,948,73,2346,420,3668,0,,45366
19-Nov-20,2020-11-19,Confirmed,46185,11,1316,31,175,794,155,2149,2,0,7546,136,1340,2212,796,560,230,1849,5722,91,0,1363,5535,230,109,32,94,868,68,782,2549,32,1707,1058,105,2532,386,3620,0,,46185
20-Nov-20,2020-11-20,Confirmed,46283,13,1221,25,164,495,150,1842,9,0,6608,152,1420,3104,588,661,185,1781,6028,73,0,1528,5640,200,173,28,148,757,52,818,2762,23,1688,894,75,2840,512,3626,0,,46283
21-Nov-20,2020-11-21,Confirmed,45301,14,1160,36,223,278,119,2284,1,0,5879,116,1515,2666,915,608,175,1781,5772,79,0,1700,5760,270,117,66,66,778,63,672,3007,59,1663,925,75,2235,585,3639,0,,45301
22-Nov-20,2020-11-22,Confirmed,44404,10,1121,24,86,385,80,1748,4,0,6746,78,1495,2279,627,564,137,1704,5254,73,0,1798,5753,382,70,40,103,638,45,679,3260,31,1655,873,48,2557,466,3591,0,,44404
23-Nov-20,2020-11-23,Confirmed,37441,15,545,31,169,412,98,2061,4,0,4454,75,1487,2663,454,351,219,1509,3757,6,0,1701,4153,250,58,13,75,668,25,711,3232,14,1624,602,19,2053,376,3557,0,,37441
24-Nov-20,2020-11-24,Confirmed,44245,11,1085,52,157,653,79,1829,0,0,6224,167,1510,2329,948,431,233,1870,5420,83,0,1766,5439,290,57,50,79,642,51,608,3314,41,1557,921,59,2217,528,3545,0,,44245
25-Nov-20,2020-11-25,Confirmed,44699,10,831,30,182,763,87,1877,2,0,5246,125,1540,2197,837,489,237,1630,6491,91,0,1773,6159,193,59,35,60,730,51,770,3285,42,1534,993,35,2305,482,3528,0,,44699
26-Nov-20,2020-11-26,Confirmed,43174,5,1031,30,150,682,116,1753,1,0,5475,148,1560,2122,931,487,230,1505,5378,109,0,1668,6406,159,68,20,69,644,20,843,3180,52,1464,862,50,2094,355,3507,0,,43174
27-Nov-20,2020-11-27,Confirmed,41353,7,733,27,149,698,106,1879,2,0,5482,150,1607,2135,830,565,189,1526,3966,44,0,1645,6185,222,52,23,31,594,16,808,3093,37,1442,761,32,2298,530,3489,0,,41353
28-Nov-20,2020-11-28,Confirmed,41815,9,625,31,163,713,89,1890,0,0,4998,198,1598,1967,650,512,209,1522,6250,56,0,1634,5965,235,71,18,24,550,46,719,2765,59,1430,753,31,2152,424,3459,0,,41815
29-Nov-20,2020-11-29,Confirmed,39036,6,620,7,134,606,96,1273,2,0,4906,115,1564,1809,1026,471,198,1291,5643,75,0,1514,5544,161,36,17,44,518,33,733,2581,19,1459,805,0,1974,389,3367,0,,39036
30-Nov-20,2020-11-30,Confirmed,31179,6,381,13,159,457,67,1324,0,0,3726,159,1502,1604,515,370,167,998,3382,12,0,1383,3837,135,70,2,27,418,33,553,2677,4,1410,593,54,2015,455,2671,0,,31179
01-Dec-20,2020-12-01,Confirmed,36474,8,685,14,222,482,128,1893,2,0,4006,161,1477,1871,709,454,181,1330,5375,62,0,1357,4930,198,65,22,23,378,52,618,2347,42,1404,502,31,1657,473,3315,0,,36474
02-Dec-20,2020-12-02,Confirmed,35506,5,663,24,173,680,105,1648,4,0,3944,117,1512,1607,633,452,206,1440,6316,146,0,1439,3350,147,79,22,45,480,59,599,1990,40,1428,565,38,1763,516,3271,0,,35506
03-Dec-20,2020-12-03,Confirmed,36574,6,664,28,165,571,75,1555,0,0,3734,124,1540,1635,837,582,233,1446,5376,68,0,1450,5182,146,51,12,29,434,40,756,2086,28,1416,609,39,1920,491,3246,0,,36574
04-Dec-20,2020-12-04,Confirmed,36711,13,599,19,169,619,111,1579,0,0,4067,94,1510,1602,803,544,219,1247,5718,41,0,1324,5229,155,62,7,22,377,46,724,1934,47,1391,631,33,1951,618,3206,0,,36711
05-Dec-20,2020-12-05,Confirmed,36010,5,630,17,157,573,98,1583,2,0,3419,115,1514,1557,905,501,196,1325,5848,108,0,1352,4922,166,97,25,35,409,44,636,2076,21,1366,596,24,1833,680,3175,0,,36010
06-Dec-20,2020-12-06,Confirmed,33178,11,667,11,97,585,101,1229,1,0,2706,112,1455,1498,553,531,92,1321,4777,53,0,1455,4757,216,73,21,39,393,35,802,2089,26,1320,622,31,1932,424,3143,0,,33178
07-Dec-20,2020-12-07,Confirmed,26227,15,316,20,166,439,86,1423,4,0,1674,90,1380,1392,739,280,179,998,3272,3,0,1452,3075,152,77,2,39,368,26,613,1927,6,1312,517,6,1453,512,2214,0,,26227
08-Dec-20,2020-12-08,Confirmed,32083,5,551,22,94,684,126,1467,5,0,3188,159,1325,1391,504,470,182,1280,5032,73,0,1345,4026,171,96,32,61,349,41,492,1604,13,1236,682,28,1776,632,2941,0,,32083
09-Dec-20,2020-12-09,Confirmed,31637,5,618,24,146,690,83,1421,3,0,2463,101,1318,1400,729,369,191,1279,4875,76,0,1272,4981,138,101,9,29,386,28,597,1511,24,1232,721,20,1326,515,2956,0,,31637
10-Dec-20,2020-12-10,Confirmed,29411,8,538,18,140,595,88,1518,0,0,1575,95,1270,1250,773,366,173,1238,4470,26,0,1319,3824,151,75,7,94,343,24,628,1592,26,1220,643,31,1662,830,2801,0,,29411
11-Dec-20,2020-12-11,Confirmed,29961,7,520,18,127,618,92,1491,1,0,2385,104,1223,1065,651,434,174,1210,4642,41,0,1222,4268,174,59,23,32,387,43,543,1473,27,1235,612,21,1561,725,2753,0,,29961
12-Dec-20,2020-12-12,Confirmed,30354,7,510,7,152,596,70,1632,0,0,1935,70,1204,1008,597,419,189,1203,5949,26,0,1282,4259,177,98,17,42,335,38,480,1307,26,1218,635,18,1410,728,2710,0,,30354
13-Dec-20,2020-12-13,Confirmed,27336,13,506,9,73,500,66,1259,0,0,1984,57,1175,990,424,382,144,1196,4698,17,0,1181,3717,119,123,11,33,393,48,621,1290,22,1195,573,23,1424,490,2580,0,,27336
14-Dec-20,2020-12-14,Confirmed,21941,16,305,23,146,425,76,1615,0,0,1376,112,1120,993,386,246,212,830,2707,11,0,1058,2949,54,75,5,19,332,21,459,1250,2,1141,384,10,1172,577,1834,0,,21941
15-Dec-20,2020-12-15,Confirmed,26251,8,500,17,142,572,62,1605,0,0,1617,92,1110,822,435,346,209,1185,5218,51,0,1073,3442,83,66,9,33,300,37,394,1045,25,1132,491,9,1336,496,2289,0,,26251
16-Dec-20,2020-12-16,Confirmed,18172,8,478,21,97,565,67,1661,1,0,1547,91,1160,807,484,332,190,1240,6185,21,0,1079,-5914,81,65,31,26,407,32,330,1247,33,1181,536,24,1199,567,2293,0,,18172
17-Dec-20,2020-12-17,Confirmed,26754,10,534,29,106,588,62,1584,1,0,1363,88,1115,714,463,385,211,1236,4969,5,0,1161,3880,81,69,5,33,351,40,448,1122,8,1174,509,17,1528,620,2245,0,,26754
18-Dec-20,2020-12-18,Confirmed,26991,9,458,8,102,535,74,1413,1,0,1418,104,1075,749,482,388,274,1222,5456,9,0,1181,3994,86,48,9,12,358,48,439,1076,33,1134,551,21,1405,580,2239,0,,26991
19-Dec-20,2020-12-19,Confirmed,26834,6,479,18,96,712,65,1368,1,0,1139,127,1026,590,385,301,247,1152,6293,18,0,1085,3940,58,32,16,9,356,45,435,989,122,1127,627,26,1205,584,2155,0,,26834
20-Dec-20,2020-12-20,Confirmed,24622,6,438,1,63,599,29,953,0,0,1091,88,1010,577,319,257,172,1194,5711,9,0,1069,3811,48,32,12,1,372,33,337,978,12,1114,592,22,1230,464,1978,0,,24622
21-Dec-20,2020-12-21,Confirmed,19147,7,214,22,101,287,55,1258,0,0,803,79,960,553,294,232,173,772,3423,7,0,1035,2834,38,5,2,16,363,14,336,913,3,1071,316,8,990,448,1515,0,,19147
22-Dec-20,2020-12-22,Confirmed,23880,5,402,5,75,497,56,1380,1,0,939,96,988,534,332,308,209,1141,6049,10,0,1005,3106,39,41,9,8,319,49,287,807,34,1052,617,13,1203,611,1653,0,,23880
23-Dec-20,2020-12-23,Confirmed,24716,3,379,12,95,640,82,1337,0,0,871,125,958,495,437,250,202,958,6169,13,0,1007,3913,104,29,8,11,364,34,480,992,22,1066,635,15,818,564,1628,0,,24716
24-Dec-20,2020-12-24,Confirmed,23444,5,357,9,95,668,43,1232,2,0,1063,90,990,519,374,291,177,1143,5177,32,0,1038,3580,49,12,15,13,263,40,360,1001,32,1035,574,13,1126,436,1590,0,,23444
25-Dec-20,2020-12-25,Confirmed,22349,11,355,0,61,640,36,853,2,0,758,80,910,408,292,284,168,1005,5397,14,0,1031,3431,67,29,22,5,325,29,316,1023,20,1027,518,9,1214,468,1541,0,,22349
26-Dec-20,2020-12-26,Confirmed,18575,0,282,9,74,474,78,1045,1,0,655,61,890,392,222,249,189,857,3527,39,0,1006,2854,33,2,0,2,334,33,305,785,115,1019,317,1,1098,374,1253,0,,18575
27-Dec-20,2020-12-27,Confirmed,20333,12,349,2,29,545,63,825,1,0,757,72,850,362,158,260,125,911,4905,12,0,946,3314,53,5,4,0,303,48,279,843,46,1009,472,11,900,427,1435,0,,20333
28-Dec-20,2020-12-28,Confirmed,16072,5,212,7,58,309,65,1188,1,0,564,105,810,351,242,156,152,653,3047,5,0,876,2498,31,3,2,14,234,33,263,798,0,1005,205,7,940,205,1028,0,,16072
29-Dec-20,2020-12-29,Confirmed,20542,7,326,13,66,622,64,1134,0,0,703,112,804,414,214,234,230,662,5887,25,0,853,3018,36,8,6,6,263,42,210,626,19,957,397,2,1021,317,1244,0,,20542
30-Dec-20,2020-12-30,Confirmed,21945,5,349,2,76,474,67,1069,0,0,677,97,799,382,220,217,223,973,6268,11,0,866,3537,41,21,9,4,305,26,361,770,13,945,474,12,1025,449,1178,0,,21945
31-Dec-20,2020-12-31,Confirmed,19026,4,338,8,72,392,66,1035,3,0,574,85,780,271,163,227,240,952,5215,19,0,844,3509,51,0,5,6,315,36,283,689,12,937,415,6,0,304,1170,0,,19026
01-Jan-21,2021-01-01,Confirmed,20159,1,326,0,40,463,51,932,0,0,585,69,734,286,193,256,128,877,4991,59,0,780,3524,18,0,12,2,245,32,248,609,12,921,461,4,1786,361,1153,0,,20159
02-Jan-21,2021-01-02,Confirmed,18144,1,238,8,38,397,66,1147,0,0,494,95,741,239,149,244,151,755,5328,25,0,731,3218,37,40,3,0,251,10,242,467,10,910,293,8,682,263,863,0,,18144
03-Jan-21,2021-01-03,Confirmed,16678,1,232,5,15,282,16,714,1,0,424,65,715,218,67,182,137,810,4600,6,0,724,3282,38,12,4,1,192,50,207,502,9,867,394,6,737,267,896,0,,16678
04-Jan-21,2021-01-04,Confirmed,16278,0,128,9,36,344,55,1147,0,0,384,40,698,244,122,133,160,600,3021,5,0,621,4875,51,22,0,5,183,29,222,457,1,838,238,1,711,301,597,0,,16278
05-Jan-21,2021-01-05,Confirmed,17909,1,377,3,41,411,90,1021,0,0,442,80,655,259,102,137,151,815,5615,16,0,671,3160,86,24,11,2,198,47,211,397,17,820,253,1,729,254,812,0,,17909
06-Jan-21,2021-01-06,Confirmed,20472,0,289,9,43,408,78,1050,0,0,654,92,665,316,105,126,194,784,6394,12,0,730,4382,66,19,13,17,231,34,258,436,13,811,417,2,729,227,868,0,,20472
07-Jan-21,2021-01-07,Confirmed,18123,9,295,4,57,377,43,1010,0,0,486,119,667,274,131,127,195,761,5051,11,0,774,3729,47,11,9,6,230,35,277,509,14,805,379,8,503,249,921,0,,18123
08-Jan-21,2021-01-08,Confirmed,18453,1,319,7,50,452,54,960,1,0,444,83,685,281,136,122,207,970,5142,1,0,614,3693,48,24,3,4,245,20,299,471,14,790,346,5,767,269,926,0,,18453
09-Jan-21,2021-01-09,Confirmed,18820,0,199,3,34,493,50,1014,0,0,519,81,675,279,84,127,236,899,5528,7,0,541,3581,67,32,16,11,206,36,248,430,5,761,298,0,1286,287,787,0,,18820
10-Jan-21,2021-01-10,Confirmed,16086,1,227,5,25,359,44,661,0,0,399,66,671,234,86,113,145,792,4545,10,0,620,3558,14,19,17,3,260,30,299,475,4,724,351,8,275,223,823,0,,16086
11-Jan-21,2021-01-11,Confirmed,12481,3,121,5,45,213,47,853,2,0,306,35,615,244,69,113,144,496,3110,3,0,485,2438,33,20,1,9,244,22,192,429,1,682,224,0,509,156,612,0,,12481
12-Jan-21,2021-01-12,Confirmed,15903,3,197,5,55,344,36,729,0,0,386,92,602,192,75,113,127,751,5507,13,0,471,2936,32,20,6,10,225,18,254,293,7,671,301,2,495,184,751,0,,15903
13-Jan-21,2021-01-13,Confirmed,17015,3,203,1,53,294,37,671,1,0,357,96,583,225,93,121,152,746,6004,5,0,456,3556,44,18,4,6,210,29,258,373,8,673,331,6,466,209,723,0,,17015
14-Jan-21,2021-01-14,Confirmed,15677,7,179,15,19,314,23,607,2,0,340,103,570,187,62,79,144,408,5490,7,0,420,3579,18,18,7,32,222,43,213,281,7,665,276,5,501,154,680,0,,15677
15-Jan-21,2021-01-15,Confirmed,15155,3,94,4,15,346,26,521,2,0,295,80,535,161,51,144,96,708,5624,2,0,429,3145,24,4,0,4,186,28,241,310,13,621,202,5,472,141,623,0,,15155
16-Jan-21,2021-01-16,Confirmed,15050,3,114,6,32,239,39,566,0,0,299,83,505,167,71,109,119,584,5960,1,0,365,2910,24,2,4,15,178,16,175,238,5,610,249,4,523,226,609,0,,15050
17-Jan-21,2021-01-17,Confirmed,13962,1,161,3,22,211,34,323,1,0,246,60,518,178,70,126,87,745,5005,7,0,355,3081,21,12,8,4,183,35,239,261,9,589,299,0,391,112,565,0,,13962
18-Jan-21,2021-01-18,Confirmed,9987,5,81,1,33,144,27,471,0,0,161,53,495,119,35,82,100,435,3346,1,14,304,1924,11,2,1,3,134,23,124,213,0,551,206,3,376,120,389,0,,9987
19-Jan-21,2021-01-19,Confirmed,13787,1,179,3,23,189,31,383,0,0,231,112,485,153,41,113,101,645,6186,5,7,304,2294,33,3,6,5,122,37,208,209,14,543,256,3,334,116,412,0,,13787
20-Jan-21,2021-01-20,Confirmed,15279,2,173,0,32,209,28,594,2,0,228,87,490,105,63,109,125,501,6815,6,9,280,3015,19,7,5,1,157,31,199,213,5,549,267,1,390,153,409,0,,15279
21-Jan-21,2021-01-21,Confirmed,14495,0,139,1,21,168,16,560,0,0,227,55,471,133,39,117,67,674,6334,5,18,301,2886,19,4,12,3,143,35,180,265,5,596,226,2,195,162,416,0,,14495
22-Jan-21,2021-01-22,Confirmed,14323,1,137,1,17,168,25,440,1,0,266,70,451,120,41,88,75,324,6753,0,2,347,2779,15,2,3,2,154,22,206,201,1,574,214,4,303,110,406,0,,14323
23-Jan-21,2021-01-23,Confirmed,14896,1,158,1,19,149,22,377,0,0,197,85,423,136,27,94,78,902,6960,2,7,291,2697,17,4,0,4,130,36,211,203,5,586,221,2,319,122,410,0,,14896
24-Jan-21,2021-01-24,Confirmed,13232,0,158,1,16,131,32,298,0,0,185,53,410,128,21,73,54,573,6036,12,0,252,2752,16,5,2,0,150,30,197,167,3,569,197,0,268,54,389,0,,13232
25-Jan-21,2021-01-25,Confirmed,9098,1,56,1,25,82,61,484,0,0,148,57,390,118,35,64,74,375,3361,0,10,200,1842,11,2,0,3,130,18,159,193,1,540,148,1,194,62,252,0,,9098
26-Jan-21,2021-01-26,Confirmed,12733,0,172,1,8,160,0,321,1,0,157,70,380,96,12,74,65,529,6293,1,2,228,2405,6,6,5,2,99,32,129,125,6,523,189,1,301,39,295,0,,12733
27-Jan-21,2021-01-27,Confirmed,11556,0,111,3,17,86,40,439,1,0,96,53,353,87,39,77,70,428,5659,0,0,185,2171,4,1,3,2,138,24,188,134,1,512,147,0,168,85,234,0,,11556
28-Jan-21,2021-01-28,Confirmed,18912,0,117,3,29,134,36,6451,0,0,199,85,346,97,60,63,62,550,5771,17,0,226,2889,15,8,3,1,113,39,200,85,5,503,186,0,248,82,289,0,,18912
29-Jan-21,2021-01-29,Confirmed,13054,0,125,0,20,121,27,370,1,0,249,78,335,107,44,76,45,468,6268,9,1,171,2771,15,4,1,4,70,31,254,103,1,509,197,2,213,78,286,0,,13054
30-Jan-21,2021-01-30,Confirmed,13073,0,129,1,29,123,17,413,0,0,183,93,323,97,94,76,49,464,6282,5,9,219,2630,15,8,3,2,108,43,224,104,3,505,186,2,242,82,310,0,,13073
31-Jan-21,2021-01-31,Confirmed,11527,0,116,0,21,116,26,265,0,0,140,53,316,92,42,57,41,522,5266,1,8,226,2585,16,3,6,4,114,21,192,95,2,508,163,0,220,61,229,0,,11527
01-Feb-21,2021-02-01,Confirmed,8579,0,64,0,13,75,32,322,0,0,121,60,298,92,25,44,42,388,3459,4,12,151,1948,4,0,0,5,79,28,194,96,1,502,118,1,171,51,179,0,,8579
02-Feb-21,2021-02-02,Confirmed,11001,0,104,1,7,118,22,330,0,0,114,106,285,78,26,44,59,395,5716,2,20,168,1927,5,4,1,2,60,27,204,87,5,510,152,0,172,47,203,0,,11001
03-Feb-21,2021-02-03,Confirmed,12925,0,95,0,14,92,36,351,0,0,150,63,283,69,59,65,46,426,6356,9,3,258,2992,9,6,3,16,71,23,187,92,2,514,185,0,195,54,201,0,,12925
04-Feb-21,2021-02-04,Confirmed,12401,0,79,0,11,64,21,373,0,0,158,79,275,73,47,60,58,474,6102,5,4,166,2736,13,20,0,4,87,39,196,139,5,494,177,0,133,103,206,0,,12401
05-Feb-21,2021-02-05,Confirmed,11711,3,97,0,7,90,24,336,0,0,154,56,267,84,71,66,41,430,5610,3,15,162,2628,9,27,4,5,97,50,199,116,2,489,169,1,158,47,194,0,,11711
06-Feb-21,2021-02-06,Confirmed,12069,3,75,1,9,88,0,260,0,0,123,65,252,71,87,65,41,531,5942,1,10,197,2768,7,24,1,22,82,35,183,97,3,477,161,0,144,47,197,0,,12069
07-Feb-21,2021-02-07,Confirmed,11786,1,73,0,8,53,47,186,0,0,119,42,244,67,45,59,38,487,6075,3,2,184,2673,9,40,1,10,72,22,207,75,2,471,150,0,113,15,193,0,,11786
08-Feb-21,2021-02-08,Confirmed,8715,4,62,1,19,56,26,265,0,0,125,57,232,76,29,43,38,328,3742,6,1,193,2216,4,1,1,2,72,26,192,101,0,464,101,0,70,43,119,0,,8715
09-Feb-21,2021-02-09,Confirmed,10731,2,70,0,27,92,21,206,0,0,100,59,234,93,68,55,61,366,5214,5,12,167,2515,7,7,3,6,105,35,185,90,0,469,149,1,107,54,146,0,,10731
10-Feb-21,2021-02-10,Confirmed,12539,0,50,0,11,64,17,222,0,0,127,72,255,77,83,45,45,415,5980,4,15,141,3451,11,31,2,2,92,19,229,107,1,479,157,0,121,35,179,0,,12539
11-Feb-21,2021-02-11,Confirmed,9353,0,87,1,10,57,13,254,0,0,142,45,285,106,36,65,45,430,5281,0,6,169,652,7,7,2,7,95,25,306,111,2,481,146,0,215,48,217,0,,9353
12-Feb-21,2021-02-12,Confirmed,12137,0,68,0,8,78,19,229,2,0,141,39,268,104,30,91,36,380,5397,1,1,161,3670,11,1,1,1,58,19,246,108,3,483,143,0,103,49,188,0,,12137
13-Feb-21,2021-02-13,Confirmed,12198,2,54,0,3,44,17,229,0,0,126,41,279,82,59,60,41,419,5471,2,36,194,3611,17,5,1,7,59,24,260,110,0,477,151,0,88,44,185,0,,12198
14-Feb-21,2021-02-14,Confirmed,11706,0,55,0,5,51,18,169,0,0,150,42,247,77,21,73,41,414,4612,2,9,223,4092,13,5,0,6,73,8,234,103,2,470,146,0,101,54,190,0,,11706
15-Feb-21,2021-02-15,Confirmed,9086,0,30,1,11,44,26,274,0,0,141,40,249,108,21,64,38,368,2884,6,1,203,3365,8,0,0,0,88,20,222,82,0,455,99,0,58,47,133,0,,9086
16-Feb-21,2021-02-16,Confirmed,11592,4,60,0,5,56,29,250,0,0,94,48,263,86,19,58,32,438,4937,6,17,233,3663,9,2,3,1,60,20,247,60,3,451,129,0,105,53,151,0,,11592
17-Feb-21,2021-02-17,Confirmed,12862,1,51,0,21,38,29,311,2,0,134,46,278,82,34,84,45,378,4892,3,10,251,4787,10,1,1,0,75,18,341,101,0,454,148,2,57,44,133,0,,12862
18-Feb-21,2021-02-18,Confirmed,13237,0,67,3,14,63,30,276,0,0,130,52,263,83,16,87,38,406,4584,1,2,241,5427,2,1,3,1,63,20,268,104,5,457,163,2,143,41,181,0,,13237
19-Feb-21,2021-02-19,Confirmed,13916,0,79,0,23,67,19,259,0,0,158,45,266,93,32,81,51,386,4505,2,9,297,6112,5,5,6,0,53,14,383,93,1,448,165,0,39,26,194,0,,13916
20-Feb-21,2021-02-20,Confirmed,13919,0,54,0,16,57,26,263,0,0,152,57,258,111,22,68,37,490,4650,1,5,257,6281,3,1,2,0,65,29,352,98,1,438,157,35,114,-374,193,0,,13919
21-Feb-21,2021-02-21,Confirmed,14278,0,88,0,9,94,28,153,0,0,145,39,283,121,19,84,31,413,4070,0,3,299,6971,4,0,2,1,58,23,348,82,4,452,163,0,79,30,182,0,,14278
22-Feb-21,2021-02-22,Confirmed,10494,1,41,0,14,84,38,274,0,0,128,29,315,106,18,58,41,317,2212,1,15,294,5210,3,2,0,0,69,8,388,83,0,449,114,2,0,32,148,0,,10494
23-Feb-21,2021-02-23,Confirmed,13682,1,70,0,21,59,37,274,0,0,145,57,348,131,20,94,50,383,4034,9,21,246,6218,3,1,1,0,62,28,414,76,0,442,0,4,190,54,189,0,,13682
24-Feb-21,2021-02-24,Confirmed,16930,0,94,0,27,54,41,247,2,0,200,52,380,130,34,74,32,334,4106,11,6,346,8807,7,3,3,0,68,28,558,99,0,463,345,2,128,47,202,0,,16930
25-Feb-21,2021-02-25,Confirmed,16599,0,82,0,30,61,49,220,1,0,220,71,424,166,42,108,76,453,3677,7,9,368,8702,3,3,0,6,89,21,563,128,1,467,207,0,129,17,199,0,,16599
26-Feb-21,2021-02-26,Confirmed,16562,1,96,0,34,46,69,279,1,0,256,100,460,148,44,85,68,571,3671,2,2,332,8333,7,0,6,0,94,20,622,149,2,481,189,7,118,53,216,0,,16562
27-Feb-21,2021-02-27,Confirmed,16805,1,118,0,9,45,60,240,0,0,243,61,451,199,55,97,42,523,3792,2,26,390,8623,11,0,3,1,86,20,593,102,2,486,178,0,77,59,210,0,,16805
28-Feb-21,2021-02-28,Confirmed,15614,2,117,0,10,25,51,141,0,0,197,54,407,174,47,58,44,521,3254,0,23,363,8293,2,1,1,1,87,8,579,156,8,479,176,0,100,43,192,0,,15614
01-Mar-21,2021-03-01,Confirmed,12270,0,58,1,33,22,69,256,0,0,175,40,427,166,132,63,37,349,1938,1,15,336,6397,1,1,0,0,86,9,633,119,0,474,116,10,81,27,198,0,,12270
02-Mar-21,2021-03-02,Confirmed,14998,0,106,1,15,41,67,216,2,0,217,47,454,175,23,85,51,437,2938,0,10,331,7863,8,3,3,0,74,29,729,102,2,462,163,0,103,70,171,0,,14998
03-Mar-21,2021-03-03,Confirmed,17425,2,135,0,8,31,56,267,0,0,240,70,475,240,77,104,31,528,2765,2,7,417,9855,1,0,1,5,97,14,772,215,3,489,168,3,77,45,225,0,,17425
04-Mar-21,2021-03-04,Confirmed,16824,2,102,0,20,40,78,235,0,0,261,69,480,294,65,79,61,571,2616,3,12,440,8998,0,0,0,5,81,17,1071,156,4,482,152,2,119,100,209,0,,16824
05-Mar-21,2021-03-05,Confirmed,18324,0,124,1,29,38,76,274,0,0,312,79,515,233,72,81,44,677,2776,2,43,457,10216,3,2,1,0,91,30,808,195,3,543,166,0,127,51,255,0,,18324
06-Mar-21,2021-03-06,Confirmed,18724,0,115,0,7,22,122,290,2,0,321,70,571,323,45,79,44,580,2791,4,5,467,10187,2,0,0,1,54,19,1159,233,10,562,170,2,130,78,259,0,,18724
07-Mar-21,2021-03-07,Confirmed,18650,0,136,0,19,30,80,222,9,0,286,48,575,305,59,112,42,622,2100,1,13,429,11141,3,4,0,6,70,25,1043,176,7,567,158,0,115,59,188,0,,18650
08-Mar-21,2021-03-08,Confirmed,15353,2,74,0,14,21,79,320,5,0,239,54,555,231,79,70,53,436,1412,2,8,427,8744,5,1,0,0,59,14,1229,179,0,556,111,0,101,58,215,0,,15353
09-Mar-21,2021-03-09,Confirmed,17873,2,118,0,22,41,105,390,0,0,320,75,581,336,42,77,62,590,2316,2,15,457,9927,2,4,4,0,57,26,1027,179,1,569,142,0,147,49,188,0,,17873
10-Mar-21,2021-03-10,Confirmed,22851,0,120,1,22,44,87,456,3,0,370,69,675,359,108,97,62,760,2475,3,15,516,13659,7,6,2,0,69,24,1393,188,3,671,189,0,121,36,241,0,,22851
11-Mar-21,2021-03-11,Confirmed,23298,0,174,0,19,45,108,378,0,0,409,69,710,442,92,75,31,783,2133,2,45,530,14317,4,2,0,0,63,22,1305,203,1,685,194,1,143,69,244,0,,23298
12-Mar-21,2021-03-12,Confirmed,24845,1,210,0,21,28,135,447,4,0,431,82,715,385,88,73,57,833,1780,6,18,603,15817,1,1,1,4,64,30,1408,237,4,670,181,0,167,66,277,0,,24845
13-Mar-21,2021-03-13,Confirmed,25154,1,175,0,14,38,144,543,4,0,419,93,775,424,70,99,43,921,2035,1,16,675,15602,1,6,0,4,65,31,1510,201,1,695,216,2,0,54,276,0,,25154
14-Mar-21,2021-03-14,Confirmed,26513,1,298,0,17,50,120,475,3,0,407,66,810,440,78,105,61,934,1792,0,1,743,16620,2,5,1,0,71,15,1492,250,0,759,228,2,332,52,283,0,,26513
15-Mar-21,2021-03-15,Confirmed,24437,0,147,0,20,26,148,645,2,0,368,89,890,420,75,94,67,932,1054,5,2,797,15051,0,0,1,0,66,14,1818,251,0,836,157,0,151,60,251,0,,24437
16-Mar-21,2021-03-16,Confirmed,28869,1,261,1,22,49,147,856,5,0,425,94,954,523,119,97,76,1135,1970,11,19,817,17864,2,3,2,0,65,24,1463,241,7,867,204,11,214,65,255,0,,28869
17-Mar-21,2021-03-17,Confirmed,35838,3,253,0,33,58,201,887,0,0,536,73,1122,555,167,126,82,1275,2098,2,14,832,23179,8,2,3,0,82,52,2013,313,3,945,247,1,260,110,303,0,,35838
18-Mar-21,2021-03-18,Confirmed,39687,1,218,1,33,107,211,1066,9,0,607,98,1276,633,171,140,97,1488,1899,11,5,917,25833,2,3,3,0,84,81,2369,327,2,989,278,3,314,88,323,0,,39687
19-Mar-21,2021-03-19,Confirmed,40906,2,246,0,19,90,214,1097,10,0,716,100,1415,872,182,152,105,1587,1984,5,3,1140,25681,1,3,0,0,110,61,2470,402,3,1087,313,10,380,99,347,0,,40906
20-Mar-21,2021-03-20,Confirmed,43815,0,380,0,27,88,203,1273,7,0,813,154,1565,821,148,140,123,1798,2078,25,0,1308,27126,6,4,1,0,120,60,2578,445,5,1243,364,5,441,83,383,0,,43815
21-Mar-21,2021-03-21,Confirmed,47009,1,368,0,25,126,239,1000,10,0,823,98,1580,867,141,158,83,1715,1875,2,18,1322,30535,3,0,1,0,98,64,2644,476,2,1289,394,5,488,137,422,0,,47009
22-Mar-21,2021-03-22,Confirmed,40636,0,310,0,30,90,208,1525,4,0,888,85,1640,865,200,132,110,1445,1239,12,25,1348,24645,4,4,1,0,146,47,2299,602,0,1385,337,0,538,104,368,0,,40636
